Incident_ID,Type_of_Crime,Severity,Date,Time,Day,Area,Lat,Lon,Street_Light,CCTV,Police_Distance_km,Victim_Age_Group,Arrest_Made,Case_Status,Risk_Label,Is_Real,Source
2502,Sexual Assault (workplace),High,24-03-2023,15:00,Thursday,Sama,22.274475,73.156199,Yes,No,8.2,45+,Yes,Sentenced,Low,FALSE,SYNTHETIC
2718,Stalking,Medium,21-08-2020,19:00,Sunday,Alkapuri,22.398476,73.034289,Yes,No,8.5,18-25,Yes,Open,Low,FALSE,SYNTHETIC
2721,Molestation,Medium,20-05-2024,20:30,Sunday,Akota,22.267441,73.065028,Yes,No,8,25-35,No,Investigation,Low,FALSE,SYNTHETIC
2641,Attempted Theft & Harassment,Low,16-07-2022,20:30,Monday,Chhani,22.243286,73.152388,No,Yes,9.7,45+,Yes,Investigation,Low,FALSE,SYNTHETIC
2392,Theft (with harassment),Medium,24-01-2020,20:30,Saturday,Vasna,22.184378,73.078315,Yes,Yes,0.7,Teen,No,Sentenced,Low,FALSE,SYNTHETIC
2659,Sexual Harassment (Public Transport),Medium,11-09-2018,23:30,Tuesday,Sayajigunj,22.394962,73.109911,Yes,No,5.6,Child,Yes,Investigation,Medium,FALSE,SYNTHETIC
2607,Assault & Harassment,Medium,15-09-2023,20:30,Wednesday,Ajwa Road,22.274647,73.146067,No,Yes,5,25-35,No,Under Trial,Medium,FALSE,SYNTHETIC
2494,Stalking,Medium,10-02-2019,06:00,Tuesday,Ajwa Road,22.328953,73.271066,No,No,2.7,45+,Yes,Sentenced,Low,FALSE,SYNTHETIC
2840,Eve-teasing,Low,23-11-2021,17:30,Friday,Padra,22.221961,73.151659,Yes,Yes,3.5,18-25,No,Closed,Low,FALSE,SYNTHETIC
2117,Assault & Harassment,Medium,01-07-2018,19:00,Monday,Harni,22.353377,73.073772,No,Yes,11.7,35-45,No,Investigation,High,FALSE,SYNTHETIC
2792,Sexual Assault (workplace),High,13-12-2018,06:00,Monday,Karjan,22.176762,73.178585,Yes,Yes,12.4,45+,No,Investigation,High,FALSE,SYNTHETIC
2057,Sexual Assault (workplace),High,19-10-2018,15:00,Sunday,Karjan,22.297447,73.230976,Yes,Yes,3.1,Teen,Yes,Investigation,High,FALSE,SYNTHETIC
2617,Molestation,Medium,04-12-2019,08:30,Wednesday,Harni,22.158015,73.202256,Yes,Yes,7.4,18-25,Yes,Open,High,FALSE,SYNTHETIC
2954,Harassment,Low,22-12-2024,19:00,Friday,Alkapuri,22.232896,73.252205,Yes,Yes,0.7,18-25,No,Open,Low,FALSE,SYNTHETIC
2919,Assault & Harassment,Medium,10-05-2020,17:30,Saturday,Manjalpur,22.310509,73.048517,No,No,13.5,35-45,Yes,Under Trial,Low,FALSE,SYNTHETIC
2880,Eve-teasing,Low,26-01-2021,23:30,Tuesday,Gorwa,22.235363,73.172043,Yes,Yes,10.5,45+,No,Open,High,FALSE,SYNTHETIC
2261,Rape (motel),High,26-04-2023,12:00,Wednesday,Padra,22.350216,73.085943,No,No,9.2,25-35,No,Investigation,Low,FALSE,SYNTHETIC
2864,Eve-teasing,Low,24-06-2022,06:00,Wednesday,Sama,22.25887,73.103556,Yes,Yes,13.8,Child,No,Investigation,Medium,FALSE,SYNTHETIC
2742,Rape (motel),High,18-09-2022,23:30,Wednesday,Padra,22.244389,73.117021,No,Yes,14.3,Child,Yes,Open,Low,FALSE,SYNTHETIC
2300,Eve-teasing,Low,27-08-2025,19:00,Thursday,Chhani,22.246469,73.165059,Yes,No,4.4,45+,No,Investigation,Medium,FALSE,SYNTHETIC
2530,Assault & Harassment,Medium,25-09-2021,15:00,Thursday,Vasna,22.399185,73.26483,No,No,14.5,45+,Yes,Open,Medium,FALSE,SYNTHETIC
2155,Theft (with harassment),Medium,18-08-2025,08:30,Tuesday,Ajwa Road,22.282043,73.120446,Yes,Yes,13.8,Teen,Yes,Under Trial,High,FALSE,SYNTHETIC
2352,Theft (with harassment),Medium,20-01-2024,15:00,Tuesday,Waghodia,22.226967,73.133051,No,No,2.5,Teen,Yes,Investigation,Medium,FALSE,SYNTHETIC
2508,Rape (motel),High,28-03-2022,20:30,Saturday,Kunal Crossroads,22.174431,73.15209,No,Yes,10.4,18-25,No,Investigation,High,FALSE,SYNTHETIC
2191,Attempted Rape,High,11-04-2018,22:00,Sunday,Manjalpur,22.253994,73.270432,Yes,No,1.9,Child,Yes,Open,Low,FALSE,SYNTHETIC
2216,Gang Rape,High,06-07-2022,08:30,Wednesday,Harni,22.304012,73.099367,No,Yes,4.8,45+,Yes,Sentenced,Low,FALSE,SYNTHETIC
2082,Sexual Assault (workplace),High,09-09-2025,19:00,Saturday,Harni,22.239668,73.129535,Yes,Yes,3,Teen,No,Open,Low,FALSE,SYNTHETIC
2967,Attempted Theft & Harassment,Low,26-03-2024,17:30,Sunday,Sayajigunj,22.303279,73.269819,Yes,No,1.1,35-45,Yes,Open,High,FALSE,SYNTHETIC
2883,Eve-teasing,Low,28-11-2020,22:00,Tuesday,Karjan,22.272471,73.174674,Yes,No,5.4,Child,No,Under Trial,Medium,FALSE,SYNTHETIC
